2019_1,2019_2,2019_3,2019_4,2019_5,2019_6,2020_1,2020_2,2020_3,2020_4,2020_5,2020_6,2021_1,2021_2,2021_3,2021_4,2021_5,2021_6
L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,NA,NA,NA,NA,NA
L,L,NA,NA,NA,NA,L,NA,NA,NA,NA,NA,L,L,NA,NA,NA,NA
L,L,NA,NA,NA,NA,L,NA,NA,NA,NA,NA,L,L,NA,NA,NA,NA
H,NA,NA,NA,NA,NA,H,H,M,M,NA,NA,H,H,H,NA,NA,NA
H,NA,NA,NA,NA,NA,H,H,M,M,NA,NA,H,H,H,NA,NA,NA
M,H,H,NA,NA,NA,H,H,H,H,NA,NA,H,NA,NA,NA,NA,NA
M,H,H,NA,NA,NA,H,H,H,H,NA,NA,H,NA,NA,NA,NA,NA
M,H,NA,NA,NA,NA,H,NA,NA,NA,NA,NA,M,NA,NA,NA,NA,NA
M,H,NA,NA,NA,NA,H,NA,NA,NA,NA,NA,M,NA,NA,NA,NA,NA
L,M,M,NA,M,M,H,H,H,NA,NA,NA,H,NA,NA,NA,NA,NA
L,M,M,NA,M,M,H,H,H,NA,NA,NA,H,NA,NA,NA,NA,NA
L,L,NA,NA,NA,NA,H,NA,NA,NA,NA,NA,H,H,H,NA,NA,NA
L,L,NA,NA,NA,NA,H,NA,NA,NA,NA,NA,H,H,H,NA,NA,NA
L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,L,NA,NA,NA,NA,M,NA,NA,NA,NA,NA,M,M,M,NA,NA,NA
H,L,NA,NA,NA,NA,M,NA,NA,NA,NA,NA,M,M,M,NA,NA,NA
M,M,M,NA,NA,NA,M,NA,NA,NA,NA,NA,M,NA,NA,NA,NA,NA
M,M,M,NA,NA,NA,M,NA,NA,NA,NA,NA,M,NA,NA,NA,NA,NA
L,M,M,NA,M,M,L,L,NA,NA,NA,NA,L,L,NA,NA,NA,NA
L,M,M,NA,M,M,L,L,NA,NA,NA,NA,L,L,NA,NA,NA,NA
NA,NA,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,H,NA,NA,NA,NA,M,NA,NA,NA,NA,M,NA,NA,NA,NA,NA
NA,NA,H,NA,NA,NA,NA,M,NA,NA,NA,NA,M,NA,NA,NA,NA,NA
NA,NA,H,NA,NA,NA,H,H,NA,NA,NA,NA,NA,H,H,NA,NA,NA
NA,NA,H,NA,NA,NA,H,H,NA,NA,NA,NA,NA,H,H,NA,NA,NA
NA,NA,NA,NA,NA,NA,M,M,M,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,M,M,M,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,H,NA,NA,NA,NA,NA,H,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,H,NA,NA,NA,NA,NA,H,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,M,NA,NA,NA,NA,NA,M,M,H,NA,NA,NA
NA,NA,NA,NA,NA,NA,M,NA,NA,NA,NA,NA,M,M,H,NA,NA,NA
NA,NA,NA,NA,NA,NA,H,NA,NA,NA,NA,NA,H,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,H,NA,NA,NA,NA,NA,H,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,M,M,M,M,NA,NA,M,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,M,M,M,M,NA,NA,M,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,H,H,NA,NA,NA,NA,H,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,H,H,NA,NA,NA,NA,H,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,H,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,H,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,H,NA,NA,NA,NA,NA,H,H,H,NA,NA,NA
NA,NA,NA,NA,NA,NA,H,NA,NA,NA,NA,NA,H,H,H,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,H,NA,NA,NA,H,H,H,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,H,NA,NA,NA,H,H,H,NA,NA,NA
NA,NA,L,H,H,H,NA,NA,NA,NA,NA,NA,M,NA,NA,NA,NA,NA
NA,NA,L,H,H,H,NA,NA,NA,NA,NA,NA,M,NA,NA,NA,NA,NA
NA,NA,H,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,H,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,M,M,M,M,M,NA,NA,NA,NA,NA,NA,L,NA,NA,NA,NA,NA
NA,M,M,M,M,M,NA,NA,NA,NA,NA,NA,L,NA,NA,NA,NA,NA
NA,M,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,M,M,M,NA,NA
NA,M,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,M,M,M,NA,NA
NA,NA,M,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,M,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,M,M,NA,NA,NA,NA,NA,NA,NA,NA,M,NA,NA,NA,NA,NA
NA,NA,M,M,NA,NA,NA,NA,NA,NA,NA,NA,M,NA,NA,NA,NA,NA
NA,NA,H,H,NA,NA,NA,NA,NA,NA,NA,NA,M,NA,NA,NA,NA,NA
NA,NA,H,H,NA,NA,NA,NA,NA,NA,NA,NA,M,NA,NA,NA,NA,NA
NA,NA,M,M,NA,NA,NA,NA,NA,NA,NA,NA,H,H,H,H,NA,NA
NA,NA,M,M,NA,NA,NA,NA,NA,NA,NA,NA,H,H,H,H,NA,NA
NA,NA,H,H,H,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,H,H,H,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,M,M,M,M,NA,NA,NA,NA,NA,NA,L,NA,NA,NA,NA,NA
NA,NA,M,M,M,M,NA,NA,NA,NA,NA,NA,L,NA,NA,NA,NA,NA
NA,NA,M,L,NA,NA,NA,NA,NA,NA,NA,NA,M,M,M,NA,NA,NA
NA,NA,M,L,NA,NA,NA,NA,NA,NA,NA,NA,M,M,M,NA,NA,NA
NA,NA,H,H,H,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,H,H,H,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,M,M,NA,NA,NA,NA,NA,NA,NA,NA,H,NA,NA,NA,NA,NA
NA,NA,M,M,NA,NA,NA,NA,NA,NA,NA,NA,H,NA,NA,NA,NA,NA
NA,NA,M,M,M,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,M,M,M,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,M,M,M,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,M,M,M,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,H,H,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,H,H,NA,NA
